seat_id,label,status,price,x,y
T001,Стол 1,free,2500,-5,6
T002,Стол 2,free,2500,-3,6
T003,Стол 3,free,2500,-1,6
T004,Стол 4,free,2500,1,6
T005,Стол 5,free,2500,3,6
T006,Стол 6,free,2500,5,6
T007,Стол 7,free,2500,-6,5
T008,Стол 8,free,2500,-4,5
T009,Стол 9,free,2500,-2,5
T010,Стол 10,free,2500,0,5
T011,Стол 11,free,2500,2,5
T012,Стол 12,free,2500,4,5
T013,Стол 13,free,2500,6,5
T014,Стол 14,free,2500,-5,4
T015,Стол 15,free,2500,-3,4
T016,Стол 16,free,2500,-1,4
T017,Стол 17,free,2500,1,4
T018,Стол 18,free,2500,3,4
T019,Стол 19,free,2500,5,4
T020,Стол 20,free,2500,-4,3
T021,Стол 21,free,2500,-2,3
T022,Стол 22,free,2500,0,3
T023,Стол 23,free,2500,2,3
T024,Стол 24,free,2500,4,3
T025,Стол 25,free,2500,-3,2
T026,Стол 26,free,2500,-1,2
T027,Стол 27,free,2500,1,2
T028,Стол 28,free,2500,3,2
T029,Стол 29,free,2500,-2,1
T030,Стол 30,free,2500,0,1
T031,Стол 31,free,2500,2,1
T032,Стол 32,free,2500,-2,-1
T033,Стол 33,free,2500,0,-1
T034,Стол 34,free,2500,2,-1
T035,Стол 35,free,2500,-3,-2
T036,Стол 36,free,2500,-1,-2
T037,Стол 37,free,2500,1,-2
T038,Стол 38,free,2500,3,-2
T039,Стол 39,free,2500,-4,-3
T040,Стол 40,free,2500,-2,-3
T041,Стол 41,free,2500,0,-3
T042,Стол 42,free,2500,2,-3
T043,Стол 43,free,2500,4,-3
T044,Стол 44,free,2500,-5,-4
T045,Стол 45,free,2500,-3,-4
T046,Стол 46,free,2500,-1,-4
T047,Стол 47,free,2500,1,-4
T048,Стол 48,free,2500,3,-4
T049,Стол 49,free,2500,5,-4
T050,Стол 50,free,2500,-6,-5
T051,Стол 51,free,2500,-4,-5
T052,Стол 52,free,2500,-2,-5
T053,Стол 53,free,2500,0,-5
T054,Стол 54,free,2500,2,-5
T055,Стол 55,free,2500,4,-5
T056,Стол 56,free,2500,6,-5
T057,Стол 57,free,2500,-5,-6
T058,Стол 58,free,2500,-3,-6
T059,Стол 59,free,2500,-1,-6
T060,Стол 60,free,2500,1,-6
T061,Стол 61,free,2500,3,-6
T062,Стол 62,free,2500,5,-6
